JobKit,Category,DisplayName,SortOrder,Notes,
842-POSTFLIGHT-STC-010,FLIGHT,,31,,
842-PREFLIGHT-STC-011,FLIGHT,,32,,
842-PREFLTLMI-STC-011,FLIGHT,,33,,
842-POSTFLIGHT-STC-011,FLIGHT,,34,,
842-PREFLIGHT-STC-012,FLIGHT,,35,,
842-PREFLTLMI-STC-012,FLIGHT,,36,,
842-POSTFLIGHT-STC-012,FLIGHT,,37,,
842-PREFLIGHT-STC-013,FLIGHT,,38,,
842-PREFLTLMI-STC-013,FLIGHT,,39,,
842-POSTFLIGHT-STC-013,FLIGHT,,40,,
842-PREFLIGHT-STC-014,FLIGHT,,41,,
842-PREFLTLMI-STC-014,FLIGHT,,42,,
842-POSTFLIGHT-STC-014,FLIGHT,,43,,
842-PREFLIGHT-STC-015,FLIGHT,,44,,
842-PREFLTLMI-STC-015,FLIGHT,,45,,
842-POSTFLIGHT-STC-015,FLIGHT,,46,,
842-QUICKTURN-STC-001,FLIGHT,,47,,
842-QUICKTURN-STC-002,FLIGHT,,48,,
842-QUICKTURN-STC-003,FLIGHT,,49,,
842-QUICKTURN-STC-004,FLIGHT,,50,,
842-QUICKTURN-STC-005,FLIGHT,,51,,
842-QUICKTURN-STC-006,FLIGHT,,52,,
842-QUICKTURN-STC-007,FLIGHT,,53,,
842-THRUFLIGHT-EDC-001,FLIGHT,,54,,
842-THRUFLIGHT-EDC-002,FLIGHT,,55,,
842-THRUFLIGHT-EDC-003,FLIGHT,,56,,
842-THRUFLIGHT-EDC-004,FLIGHT,,57,,
842-THRUFLTLMI-STC-001,FLIGHT,,58,,
842-THRUFLTLMI-STC-002,FLIGHT,,59,,
842-THRUFLTLMI-STC-003,FLIGHT,,60,,
842-THRUFLTLMI-STC-004,FLIGHT,,61,,
842-PREFLIGHT-STC-FERRY,FERRY FLIGHT,PREFLIGHT INSPECTION KC-46 FERRY FLT,1,,
842-PREFLTLMI-STC-FERRY,FERRY FLIGHT,LAST MINUTE INSPECTION KC-46,2,,
842-RECEIVALINSP-EDC-001,TICKET,EDC RECEIVAL INSPECTION KC-46,3,,
842-RECEIVALINSP-EDC-001,TICKET,KC-46 RECEIVAL INSPECTION,1,,
842-RECVLINSP-EDC-COLLECTOR,TICKET,RECEIVAL INSPECTION NON CONFORMANCES,2,,
842-RECVLINSP-EDC-COLLECTOR,TICKET,KC-46 RECEIVAL INSPECTION COLLECTOR,4,,
842-416192-FR002,TICKET,REMOVE OXY BOTTLE PRE'S,6,,
842-100200-MTC-VERIFICATION,TICKET,MTC VERIFICATION,5,,
842-CPSTATUS-POS6-001,TICKET,ACC 876 CLOSE OUT,7,,
842-POSTTICKET-PREDELIVERY-FOD,TICKET,MDC POST TICKET-PRE DELIVERY-FOD SWEEP,8,,
,,,,,
